SamleIds,Batch,Tissue
Sample_67,Batch A,Terminal Ileum
Sample_68,Batch A,Terminal Ileum
Sample_69,Batch A,Terminal Ileum
Sample_70,Batch A,Terminal Ileum
Sample_71,Batch A,Terminal Ileum
Sample_72,Batch A,Terminal Ileum
Sample_73,Batch A,Terminal Ileum
Sample_74,Batch A,Terminal Ileum
Sample_75,Batch A,Terminal Ileum
Sample_76,Batch A,Terminal Ileum
Sample_77,Batch A,Terminal Ileum
Sample_78,Batch A,Terminal Ileum
Sample_79,Batch A,Terminal Ileum
Sample_80,Batch A,Terminal Ileum
Sample_81,Batch A,Terminal Ileum
Sample_82,Batch A,Terminal Ileum
Sample_83,Batch A,Terminal Ileum
Sample_84,Batch A,Terminal Ileum
Sample_87,Batch A,Terminal Ileum
Sample_88,Batch A,Terminal Ileum
Sample_89,Batch A,Terminal Ileum
Sample_90,Batch A,Terminal Ileum
Sample_91,Batch A,Colorectal
Sample_92,Batch A,Terminal Ileum
Sample_93,Batch A,Terminal Ileum
Sample_94,Batch A,Terminal Ileum
Sample_95,Batch A,Terminal Ileum
Sample_96,Batch A,Terminal Ileum
Sample_97,Batch A,Terminal Ileum
Sample_98,Batch A,Terminal Ileum
Sample_99,Batch A,Terminal Ileum
Sample_100,Batch A,Terminal Ileum
Sample_101,Batch A,Terminal Ileum
Sample_102,Batch A,Terminal Ileum
Sample_92,Batch A,Terminal Ileum
Sample_104,Batch A,Terminal Ileum
Sample_105,Batch A,Terminal Ileum
Sample_106,Batch A,Terminal Ileum
Sample_107,Batch A,Terminal Ileum
Sample_108,Batch A,Terminal Ileum
Sample_109,Batch A,Terminal Ileum
Sample_110,Batch A,Terminal Ileum
Sample_111,Batch A,Terminal Ileum
Sample_112,Batch A,Terminal Ileum
Sample_76,Batch A,Terminal Ileum
Sample_114,Batch A,Colorectal
Sample_115,Batch A,Colorectal
Sample_116,Batch A,Colorectal
Sample_117,Batch A,Colorectal
Sample_118,Batch A,Colorectal
Sample_119,Batch A,Colorectal
Sample_120,Batch A,Colorectal
Sample_121,Batch A,Colorectal
Sample_122,Batch A,Colorectal
Sample_123,Batch A,Colorectal
Sample_124,Batch A,Terminal Ileum
Sample_125,Batch A,Colorectal
Sample_126,Batch A,Colorectal
Sample_127,Batch A,Colorectal
Sample_128,Batch A,Colorectal
Sample_129,Batch A,Colorectal
Sample_130,Batch A,Colorectal
Sample_131,Batch A,Colorectal
Sample_132,Batch A,Colorectal
Sample_133,Batch A,Colorectal
Sample_134,Batch A,Colorectal
Sample_135,Batch A,Colorectal
Sample_136,Batch A,Terminal Ileum
Sample_137,Batch A,Colorectal
Sample_138,Batch A,Colorectal
Sample_139,Batch A,Colorectal
Sample_140,Batch A,Colorectal
Sample_141,Batch A,Colorectal
Sample_142,Batch A,Terminal Ileum
Sample_143,Batch A,Colorectal
Sample_144,Batch A,Terminal Ileum
Sample_145,Batch A,Colorectal
Sample_146,Batch A,Colorectal
Sample_147,Batch A,Terminal Ileum
Sample_148,Batch A,Colorectal
Sample_149,Batch A,Colorectal
Sample_150,Batch A,Colorectal
Sample_153,Batch A,Colorectal
Sample_154,Batch A,Colorectal
Sample_155,Batch A,Colorectal
Sample_156,Batch A,Colorectal
Sample_157,Batch A,Colorectal
Sample_159,Batch A,Colorectal
Sample_160,Batch A,Colorectal
Sample_161,Batch A,Colorectal
Sample_162,Batch A,Colorectal
Sample_163,Batch A,Colorectal
Sample_164,Batch A,Colorectal
Sample_165,Batch A,Colorectal
Sample_166,Batch A,Colorectal
Sample_167,Batch A,Colorectal
Sample_168,Batch A,Terminal Ileum
Sample_169,Batch A,Colorectal
Sample_170,Batch A,Colorectal
Sample_171,Batch A,Terminal Ileum
Sample_172,Batch A,Colorectal
Sample_173,Batch A,Colorectal
Sample_174,Batch A,Colorectal
Sample_175,Batch A,Colorectal
Sample_176,Batch A,Terminal Ileum
Sample_177,Batch A,Colorectal
Sample_178,Batch A,Colorectal
Sample_179,Batch A,Colorectal
Sample_180,Batch A,Colorectal
Sample_181,Batch A,Colorectal
Sample_182,Batch A,Colorectal
Sample_183,Batch A,Colorectal
Sample_184,Batch A,Colorectal
Sample_185,Batch A,Colorectal
Sample_186,Batch A,Colorectal
Sample_187,Batch A,Colorectal
Sample_188,Batch A,Colorectal
Sample_189,Batch A,Colorectal
Sample_190,Batch A,Colorectal
Sample_191,Batch A,Terminal Ileum
Sample_192,Batch A,Colorectal
Sample_193,Batch A,Colorectal
Sample_194,Batch A,Terminal Ileum
Sample_195,Batch A,Colorectal
Sample_196,Batch A,Colorectal
Sample_197,Batch A,Colorectal
Sample_198,Batch A,Colorectal
Sample_199,Batch A,Colorectal
Sample_200,Batch A,Colorectal
Sample_201,Batch A,Colorectal
Sample_202,Batch A,Terminal Ileum
Sample_203,Batch A,Colorectal
Sample_204,Batch A,Colorectal
Sample_205,Batch A,Colorectal
Sample_206,Batch A,Terminal Ileum
Sample_207,Batch A,Colorectal
Sample_208,Batch A,Colorectal
Sample_209,Batch A,Colorectal
Sample_210,Batch A,Colorectal
Sample_211,Batch A,Terminal Ileum
Sample_212,Batch A,Terminal Ileum
Sample_213,Batch A,Terminal Ileum
Sample_214,Batch A,Terminal Ileum
Sample_215,Batch A,Terminal Ileum
Sample_216,Batch A,Terminal Ileum
Sample_217,Batch A,Terminal Ileum
Sample_218,Batch A,Terminal Ileum
Sample_219,Batch A,Terminal Ileum
Sample_220,Batch A,Terminal Ileum
Sample_221,Batch A,Terminal Ileum
Sample_222,Batch A,Terminal Ileum
Sample_223,Batch A,Terminal Ileum
Sample_224,Batch A,Terminal Ileum
Sample_225,Batch A,Terminal Ileum
Sample_226,Batch A,Terminal Ileum
Sample_227,Batch A,Colorectal
Sample_228,Batch A,Terminal Ileum
Sample_229,Batch A,Terminal Ileum
Sample_230,Batch A,Terminal Ileum
Sample_231,Batch A,Terminal Ileum
Sample_232,Batch A,Terminal Ileum
Sample_233,Batch A,Terminal Ileum
Sample_234,Batch A,Terminal Ileum
Sample_235,Batch A,Terminal Ileum
Sample_236,Batch A,Terminal Ileum
Sample_237,Batch A,Terminal Ileum
Sample_238,Batch A,Terminal Ileum
Sample_239,Batch A,Terminal Ileum
Sample_240,Batch A,Terminal Ileum
Sample_241,Batch A,Terminal Ileum
Sample_242,Batch A,Terminal Ileum
Sample_243,Batch A,Terminal Ileum
Sample_244,Batch A,Terminal Ileum
Sample_245,Batch A,Terminal Ileum
Sample_246,Batch A,Terminal Ileum
Sample_247,Batch A,Terminal Ileum
Sample_248,Batch A,Terminal Ileum
Sample_249,Batch A,Terminal Ileum
Sample_250,Batch A,Terminal Ileum
Sample_251,Batch A,Terminal Ileum
Sample_252,Batch A,Terminal Ileum
Sample_253,Batch A,Colorectal
Sample_254,Batch A,Terminal Ileum
Sample_255,Batch A,Terminal Ileum
Sample_256,Batch A,Terminal Ileum
Sample_257,Batch A,Terminal Ileum
Sample_258,Batch A,Terminal Ileum
Sample_259,Batch A,Terminal Ileum
Sample_260,Batch A,Terminal Ileum
Sample_261,Batch A,Terminal Ileum
Sample_262,Batch A,Terminal Ileum
Sample_263,Batch A,Terminal Ileum
Sample_264,Batch A,Colorectal
Sample_184,Batch A,Colorectal
Sample_266,Batch A,Colorectal
Sample_267,Batch A,Colorectal
Sample_268,Batch A,Terminal Ileum
Sample_269,Batch A,Terminal Ileum
Sample_270,Batch A,Terminal Ileum
Sample_271,Batch A,Terminal Ileum
Sample_272,Batch A,Terminal Ileum
Sample_273,Batch A,Terminal Ileum
Sample_274,Batch A,Terminal Ileum
Sample_275,Batch A,Terminal Ileum
Sample_276,Batch A,Terminal Ileum
Sample_277,Batch A,Terminal Ileum
Sample_278,Batch A,Terminal Ileum
Sample_279,Batch A,Terminal Ileum
Sample_280,Batch A,Colorectal
Sample_281,Batch A,Colorectal
Sample_282,Batch A,Colorectal
Sample_156,Batch A,Colorectal
Sample_284,Batch A,Colorectal
Sample_285,Batch A,Colorectal
Sample_286,Batch A,Colorectal
Sample_287,Batch A,Colorectal
Sample_288,Batch A,Colorectal
Sample_289,Batch A,Colorectal
Sample_290,Batch A,Colorectal
Sample_292,Batch A,Colorectal
Sample_293,Batch A,Colorectal
Sample_294,Batch A,Colorectal
Sample_295,Batch A,Colorectal
Sample_296,Batch A,Terminal Ileum
Sample_297,Batch A,Terminal Ileum
Sample_298,Batch A,Colorectal
Sample_301,Batch A,Colorectal
Sample_302,Batch A,Colorectal
Sample_303,Batch A,Colorectal
Sample_304,Batch B,Colorectal
Sample_305,Batch B,Colorectal
Sample_306,Batch B,Colorectal
Sample_307,Batch B,Colorectal
Sample_308,Batch B,Colorectal
Sample_309,Batch B,Terminal Ileum
Sample_310,Batch B,Colorectal
Sample_311,Batch B,Colorectal
Sample_312,Batch B,Colorectal
Sample_313,Batch B,Colorectal
Sample_314,Batch B,Colorectal
Sample_315,Batch B,Colorectal
Sample_316,Batch B,Terminal Ileum
Sample_317,Batch B,Terminal Ileum
Sample_318,Batch B,Colorectal
Sample_321,Batch B,Terminal Ileum
Sample_322,Batch B,Terminal Ileum
Sample_323,Batch B,Terminal Ileum
Sample_324,Batch B,Colorectal
Sample_325,Batch B,Colorectal
Sample_280,Batch B,Colorectal
Sample_295,Batch B,Colorectal
Sample_328,Batch B,Colorectal
Sample_329,Batch B,Colorectal
Sample_330,Batch B,Colorectal
Sample_331,Batch B,Colorectal
Sample_207,Batch B,Colorectal
Sample_208,Batch B,Colorectal
Sample_211,Batch B,Terminal Ileum
Sample_212,Batch B,Terminal Ileum
Sample_159,Batch B,Colorectal
Sample_168,Batch B,Terminal Ileum
Sample_109,Batch B,Terminal Ileum
Sample_100,Batch B,Terminal Ileum
Sample_99,Batch B,Terminal Ileum
Sample_342,Batch B,Terminal Ileum
Sample_343,Batch B,Terminal Ileum
Sample_207,Batch B,Colorectal
Sample_208,Batch B,Colorectal
Sample_212,Batch B,Terminal Ileum
Sample_159,Batch B,Colorectal
Sample_168,Batch B,Terminal Ileum
Sample_99,Batch B,Terminal Ileum
Sample_342,Batch B,Terminal Ileum
Sample_343,Batch B,Terminal Ileum
Sample_352,Batch B,Colorectal
Sample_353,Batch B,Colorectal
Sample_354,Batch B,Colorectal
Sample_355,Batch B,Terminal Ileum
Sample_356,Batch B,Colorectal
Sample_357,Batch B,Colorectal
Sample_358,Batch B,Colorectal
Sample_359,Batch B,Terminal Ileum
Sample_360,Batch B,Colorectal
Sample_361,Batch B,Terminal Ileum
Sample_362,Batch B,Terminal Ileum
Sample_363,Batch B,Colorectal
Sample_364,Batch B,Colorectal
Sample_365,Batch B,Colorectal
Sample_366,Batch B,Colorectal
Sample_367,Batch B,Colorectal
Sample_368,Batch B,Colorectal
Sample_369,Batch B,Terminal Ileum
Sample_370,Batch B,Terminal Ileum
Sample_371,Batch B,Colorectal
Sample_372,Batch B,Colorectal
Sample_373,Batch B,Terminal Ileum
Sample_374,Batch B,Colorectal
Sample_375,Batch B,Colorectal
Sample_376,Batch B,Terminal Ileum
Sample_377,Batch B,Colorectal
Sample_378,Batch B,Colorectal
Sample_379,Batch B,Terminal Ileum
Sample_380,Batch B,Terminal Ileum
Sample_381,Batch B,Colorectal
Sample_382,Batch B,Colorectal
Sample_383,Batch B,Colorectal
Sample_384,Batch B,Colorectal
Sample_385,Batch B,Colorectal
Sample_386,Batch B,Colorectal
Sample_387,Batch B,Terminal Ileum
Sample_390,Batch B,Colorectal
Sample_391,Batch B,Terminal Ileum
Sample_392,Batch B,Terminal Ileum
Sample_393,Batch B,Colorectal
Sample_394,Batch B,Colorectal
Sample_395,Batch B,Colorectal
Sample_396,Batch B,Colorectal
Sample_397,Batch B,Colorectal
Sample_398,Batch B,Terminal Ileum
Sample_399,Batch B,Colorectal
Sample_400,Batch B,Colorectal
Sample_401,Batch B,Colorectal
Sample_402,Batch B,Colorectal
Sample_403,Batch B,Colorectal
Sample_404,Batch B,Colorectal
Sample_405,Batch B,Terminal Ileum
Sample_406,Batch B,Colorectal
Sample_407,Batch B,Colorectal
Sample_408,Batch B,Colorectal
Sample_409,Batch B,Colorectal
Sample_410,Batch B,Colorectal
Sample_411,Batch B,Colorectal
Sample_412,Batch B,Colorectal
Sample_413,Batch B,Colorectal
Sample_414,Batch B,Colorectal
Sample_415,Batch B,Colorectal
Sample_416,Batch B,Colorectal
Sample_417,Batch B,Terminal Ileum
Sample_418,Batch B,Terminal Ileum
Sample_419,Batch B,Colorectal
Sample_420,Batch B,Colorectal
Sample_421,Batch B,Colorectal
Sample_422,Batch B,Colorectal
Sample_423,Batch B,Terminal Ileum
Sample_424,Batch B,Colorectal
Sample_425,Batch B,Terminal Ileum
Sample_426,Batch B,Colorectal
Sample_427,Batch B,Colorectal
Sample_428,Batch B,Terminal Ileum
Sample_429,Batch B,Colorectal
Sample_430,Batch B,Colorectal
Sample_431,Batch B,Colorectal
Sample_432,Batch B,Terminal Ileum
Sample_433,Batch B,Colorectal
Sample_435,Batch B,Terminal Ileum
Sample_436,Batch B,Colorectal
Sample_439,Batch B,Terminal Ileum
Sample_440,Batch B,Colorectal
Sample_441,Batch B,Terminal Ileum
Sample_442,Batch B,Colorectal
Sample_443,Batch B,Colorectal
Sample_444,Batch B,Colorectal
Sample_445,Batch B,Colorectal
Sample_450,Batch B,Terminal Ileum
Sample_451,Batch B,Colorectal
Sample_452,Batch B,Colorectal
Sample_453,Batch B,Colorectal
Sample_454,Batch B,Colorectal
Sample_455,Batch B,Colorectal
Sample_456,Batch B,Colorectal
Sample_457,Batch B,Terminal Ileum
Sample_458,Batch B,Colorectal
Sample_459,Batch B,Colorectal
Sample_460,Batch B,Colorectal
Sample_461,Batch B,Terminal Ileum
Sample_462,Batch B,Colorectal
Sample_463,Batch B,Terminal Ileum
Sample_464,Batch B,Terminal Ileum
Sample_465,Batch B,Colorectal
Sample_466,Batch B,Colorectal
Sample_467,Batch B,Colorectal
Sample_468,Batch B,Colorectal
Sample_469,Batch B,Terminal Ileum
Sample_470,Batch B,Terminal Ileum
Sample_471,Batch B,Colorectal
Sample_472,Batch B,Colorectal
Sample_473,Batch B,Terminal Ileum
Sample_474,Batch B,Colorectal
Sample_475,Batch B,Colorectal
Sample_476,Batch B,Terminal Ileum
Sample_477,Batch B,Colorectal
Sample_478,Batch B,Terminal Ileum
Sample_479,Batch B,Colorectal
Sample_480,Batch B,Colorectal
Sample_481,Batch B,Colorectal
Sample_482,Batch B,Colorectal
Sample_483,Batch B,Colorectal
Sample_484,Batch B,Colorectal
Sample_489,Batch B,Terminal Ileum
Sample_490,Batch B,Terminal Ileum
Sample_491,Batch B,Colorectal
Sample_492,Batch B,Colorectal
Sample_493,Batch B,Colorectal
Sample_494,Batch B,Colorectal
Sample_497,Batch B,Colorectal
Sample_498,Batch B,Colorectal
Sample_500,Batch B,Colorectal
Sample_501,Batch B,Colorectal
Sample_502,Batch B,Colorectal
Sample_503,Batch B,Colorectal
Sample_504,Batch B,Colorectal
Sample_505,Batch B,Colorectal
Sample_506,Batch B,Colorectal
Sample_507,Batch B,Colorectal
Sample_251,Batch B,Terminal Ileum
Sample_509,Batch B,Colorectal
Sample_510,Batch B,Colorectal
Sample_155,Batch B,Colorectal
Sample_512,Batch B,Colorectal
Sample_513,Batch B,Terminal Ileum
Sample_514,Batch B,Colorectal
Sample_515,Batch B,Terminal Ileum
Sample_516,Batch B,Colorectal
Sample_517,Batch B,Terminal Ileum
Sample_518,Batch B,Colorectal
Sample_519,Batch B,Terminal Ileum
Sample_520,Batch B,Terminal Ileum
Sample_521,Batch B,Colorectal
Sample_522,Batch B,Colorectal
Sample_523,Batch B,Colorectal
Sample_524,Batch B,Colorectal
Sample_525,Batch B,Colorectal
Sample_526,Batch B,Colorectal
Sample_527,Batch B,Colorectal
Sample_528,Batch B,Colorectal
Sample_529,Batch B,Terminal Ileum
Sample_530,Batch B,Colorectal
Sample_531,Batch B,Colorectal
Sample_532,Batch B,Colorectal
Sample_533,Batch B,Colorectal
Sample_512,Batch B,Colorectal
Sample_523,Batch B,Colorectal
Sample_536,Batch B,Colorectal
Sample_537,Batch B,Colorectal
Sample_538,Batch B,Colorectal
Sample_539,Batch B,Terminal Ileum
Sample_540,Batch B,Colorectal
Sample_541,Batch B,Colorectal
Sample_542,Batch B,Terminal Ileum
Sample_543,Batch B,Colorectal
Sample_544,Batch B,Colorectal
Sample_545,Batch B,Colorectal
Sample_546,Batch B,Colorectal
Sample_547,Batch B,Colorectal
Sample_548,Batch B,Colorectal
Sample_549,Batch B,Colorectal
Sample_550,Batch B,Terminal Ileum
Sample_551,Batch B,Colorectal
Sample_552,Batch B,Colorectal
Sample_553,Batch B,Colorectal
Sample_554,Batch B,Colorectal
Sample_555,Batch B,Colorectal
Sample_556,Batch B,Terminal Ileum
Sample_557,Batch B,Colorectal
Sample_558,Batch B,Colorectal
Sample_559,Batch B,Colorectal
Sample_560,Batch B,Colorectal
Sample_561,Batch B,Colorectal
Sample_562,Batch B,Colorectal
Sample_563,Batch B,Colorectal
Sample_564,Batch B,Colorectal
Sample_565,Batch B,Colorectal
Sample_566,Batch B,Colorectal
Sample_567,Batch B,Colorectal
Sample_568,Batch B,Colorectal
Sample_569,Batch B,Colorectal
Sample_570,Batch B,Colorectal
Sample_571,Batch B,Colorectal
Sample_572,Batch B,Colorectal
Sample_573,Batch B,Colorectal
Sample_574,Batch B,Colorectal
Sample_575,Batch B,Colorectal
Sample_576,Batch B,Colorectal
Sample_577,Batch B,Colorectal
Sample_578,Batch B,Colorectal
Sample_579,Batch B,Colorectal
Sample_580,Batch B,Colorectal
Sample_581,Batch B,Colorectal
Sample_582,Batch B,Colorectal
Sample_583,Batch B,Colorectal
Sample_584,Batch B,Colorectal
Sample_585,Batch B,Terminal Ileum
Sample_586,Batch B,Colorectal
Sample_587,Batch B,Colorectal
Sample_588,Batch B,Colorectal
Sample_589,Batch B,Colorectal
Sample_590,Batch B,Colorectal
Sample_591,Batch B,Colorectal
Sample_592,Batch B,Colorectal
Sample_593,Batch B,Colorectal
Sample_594,Batch B,Colorectal
Sample_595,Batch B,Colorectal
Sample_596,Batch B,Colorectal
Sample_597,Batch B,Colorectal
Sample_598,Batch B,Colorectal
Sample_599,Batch B,Colorectal
Sample_600,Batch B,Colorectal
Sample_601,Batch B,Colorectal
Sample_602,Batch B,Terminal Ileum
Sample_603,Batch B,Colorectal
Sample_604,Batch B,Colorectal
Sample_605,Batch C,Colorectal
Sample_606,Batch C,Terminal Ileum
Sample_607,Batch C,Colorectal
Sample_608,Batch C,Colorectal
Sample_609,Batch C,Colorectal
Sample_610,Batch C,Colorectal
Sample_611,Batch C,Colorectal
Sample_612,Batch C,Colorectal
Sample_613,Batch C,Colorectal
Sample_614,Batch C,Colorectal
Sample_615,Batch C,Colorectal
Sample_616,Batch C,Colorectal
Sample_617,Batch C,Colorectal
Sample_618,Batch C,Colorectal
Sample_619,Batch C,Colorectal
Sample_620,Batch C,Colorectal
Sample_621,Batch C,Colorectal
Sample_622,Batch C,Colorectal
Sample_623,Batch C,Colorectal
Sample_624,Batch C,Colorectal
Sample_625,Batch C,Colorectal
Sample_626,Batch C,Colorectal
Sample_627,Batch C,Colorectal
Sample_628,Batch C,Terminal Ileum
Sample_629,Batch C,Terminal Ileum
Sample_630,Batch C,Colorectal
Sample_631,Batch C,Colorectal
Sample_632,Batch C,Colorectal
Sample_633,Batch C,Colorectal
Sample_634,Batch C,Colorectal
Sample_635,Batch C,Colorectal
Sample_636,Batch C,Colorectal
Sample_637,Batch C,Colorectal
Sample_638,Batch C,Colorectal
Sample_639,Batch C,Colorectal
Sample_640,Batch C,Colorectal
Sample_641,Batch C,Colorectal
Sample_642,Batch C,Terminal Ileum
Sample_643,Batch C,Terminal Ileum
Sample_207,Batch C,Colorectal
Sample_208,Batch C,Colorectal
Sample_211,Batch C,Terminal Ileum
Sample_212,Batch C,Terminal Ileum
Sample_159,Batch C,Colorectal
Sample_168,Batch C,Terminal Ileum
Sample_650,Batch C,Colorectal
Sample_651,Batch C,Colorectal
Sample_652,Batch C,Colorectal
Sample_653,Batch C,Colorectal
Sample_654,Batch C,Colorectal
Sample_655,Batch C,Terminal Ileum
Sample_656,Batch C,Colorectal
Sample_657,Batch C,Terminal Ileum
Sample_658,Batch C,Colorectal
Sample_659,Batch C,Colorectal
Sample_660,Batch C,Colorectal
Sample_661,Batch C,Colorectal
Sample_662,Batch C,Colorectal
Sample_663,Batch C,Colorectal
Sample_664,Batch C,Colorectal
Sample_665,Batch C,Colorectal
Sample_666,Batch C,Colorectal
Sample_667,Batch C,Colorectal
Sample_668,Batch C,Colorectal
Sample_669,Batch C,Colorectal
Sample_670,Batch C,Colorectal
Sample_671,Batch C,Colorectal
Sample_672,Batch C,Colorectal
Sample_673,Batch C,Terminal Ileum
Sample_674,Batch C,Colorectal
Sample_675,Batch C,Colorectal
Sample_676,Batch C,Colorectal
Sample_677,Batch C,Colorectal
Sample_678,Batch C,Colorectal
Sample_679,Batch C,Colorectal
Sample_680,Batch C,Colorectal
Sample_681,Batch C,Colorectal
Sample_682,Batch C,Colorectal
Sample_683,Batch C,Terminal Ileum
Sample_684,Batch C,Colorectal
Sample_685,Batch C,Colorectal
Sample_686,Batch C,Terminal Ileum
Sample_687,Batch C,Terminal Ileum
Sample_688,Batch C,Colorectal
Sample_689,Batch C,Terminal Ileum
Sample_690,Batch C,Colorectal
Sample_691,Batch C,Colorectal
Sample_692,Batch C,Colorectal
Sample_693,Batch C,Colorectal
Sample_694,Batch C,Colorectal
Sample_695,Batch C,Colorectal
Sample_696,Batch C,Colorectal
Sample_697,Batch C,Colorectal
Sample_698,Batch C,Colorectal
Sample_699,Batch C,Terminal Ileum
Sample_700,Batch C,Terminal Ileum
Sample_701,Batch C,Terminal Ileum
Sample_702,Batch C,Colorectal
Sample_703,Batch C,Terminal Ileum
Sample_704,Batch C,Colorectal
Sample_705,Batch C,Colorectal
Sample_706,Batch C,Colorectal
Sample_707,Batch C,Colorectal
Sample_708,Batch C,Colorectal
Sample_709,Batch C,Colorectal
Sample_710,Batch C,Terminal Ileum
Sample_711,Batch C,Colorectal
Sample_712,Batch C,Colorectal
Sample_713,Batch C,Colorectal
Sample_714,Batch C,Colorectal
Sample_715,Batch C,Colorectal
Sample_716,Batch C,Terminal Ileum
Sample_717,Batch C,Terminal Ileum
Sample_718,Batch C,Colorectal
Sample_719,Batch C,Colorectal
Sample_720,Batch C,Terminal Ileum
Sample_722,Batch C,Colorectal
Sample_723,Batch C,Terminal Ileum
Sample_724,Batch C,Colorectal
Sample_725,Batch C,Terminal Ileum
Sample_726,Batch C,Terminal Ileum
Sample_727,Batch C,Terminal Ileum
Sample_728,Batch C,Terminal Ileum
Sample_729,Batch C,Terminal Ileum
Sample_730,Batch C,Terminal Ileum
Sample_731,Batch C,Terminal Ileum
Sample_732,Batch C,Terminal Ileum
Sample_733,Batch C,Terminal Ileum
Sample_734,Batch C,Terminal Ileum
Sample_735,Batch C,Terminal Ileum
Sample_736,Batch C,Terminal Ileum
Sample_737,Batch C,Terminal Ileum
Sample_738,Batch C,Terminal Ileum
Sample_739,Batch C,Terminal Ileum
Sample_740,Batch C,Terminal Ileum
Sample_741,Batch C,Terminal Ileum
Sample_742,Batch C,Terminal Ileum
Sample_743,Batch C,Terminal Ileum
Sample_744,Batch C,Terminal Ileum
Sample_745,Batch C,Terminal Ileum
Sample_746,Batch C,Terminal Ileum
Sample_747,Batch C,Terminal Ileum
Sample_748,Batch C,Terminal Ileum
Sample_749,Batch C,Terminal Ileum
Sample_750,Batch C,Terminal Ileum
Sample_751,Batch C,Terminal Ileum
Sample_752,Batch C,Terminal Ileum
Sample_753,Batch C,Terminal Ileum
Sample_754,Batch C,Terminal Ileum
Sample_755,Batch C,Terminal Ileum
Sample_756,Batch C,Terminal Ileum
Sample_757,Batch C,Terminal Ileum
Sample_758,Batch C,Terminal Ileum
Sample_759,Batch C,Terminal Ileum
Sample_760,Batch C,Terminal Ileum
Sample_761,Batch C,Terminal Ileum
Sample_762,Batch C,Terminal Ileum
Sample_763,Batch C,Terminal Ileum
Sample_764,Batch C,Terminal Ileum
Sample_765,Batch C,Terminal Ileum
Sample_766,Batch C,Terminal Ileum
Sample_767,Batch C,Terminal Ileum
Sample_768,Batch C,Terminal Ileum
Sample_769,Batch C,Terminal Ileum
Sample_770,Batch C,Terminal Ileum
Sample_771,Batch C,Terminal Ileum
Sample_772,Batch C,Terminal Ileum
Sample_773,Batch C,Terminal Ileum
Sample_774,Batch C,Terminal Ileum
Sample_775,Batch C,Terminal Ileum
Sample_776,Batch C,Terminal Ileum
Sample_777,Batch C,Terminal Ileum
Sample_778,Batch C,Terminal Ileum
Sample_779,Batch C,Terminal Ileum
Sample_780,Batch C,Terminal Ileum
Sample_781,Batch C,Terminal Ileum
Sample_782,Batch C,Terminal Ileum
Sample_783,Batch C,Terminal Ileum
Sample_784,Batch C,Terminal Ileum
Sample_785,Batch C,Terminal Ileum
Sample_786,Batch C,Colorectal
Sample_787,Batch C,Colorectal
Sample_788,Batch C,Colorectal
Sample_789,Batch C,Terminal Ileum
Sample_790,Batch C,Terminal Ileum
Sample_726,Batch C,Terminal Ileum
Sample_792,Batch C,Terminal Ileum
Sample_793,Batch C,Terminal Ileum
Sample_794,Batch C,Terminal Ileum
Sample_795,Batch C,Terminal Ileum
